DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2020-03-02,10:27:00,134.98,134.99,134.96,134.97,415
2020-03-02,10:28:00,134.97,134.97,134.94,134.95,271
2020-03-02,10:29:00,134.95,134.99,134.95,134.98,398
2020-03-02,10:30:00,134.98,135.01,134.98,135,311
2020-03-02,10:31:00,135.01,135.02,134.95,134.95,472
2020-03-02,10:32:00,134.95,134.96,134.92,134.92,467
2020-03-02,10:33:00,134.92,134.92,134.88,134.89,1187
2020-03-02,10:34:00,134.87,134.92,134.87,134.89,609
2020-03-02,10:35:00,134.89,134.9,134.85,134.85,582
2020-03-02,10:36:00,134.84,134.84,134.79,134.8,674
2020-03-02,10:37:00,134.8,134.83,134.79,134.8,417
2020-03-02,10:38:00,134.8,134.82,134.78,134.79,361
2020-03-02,10:39:00,134.78,134.84,134.75,134.83,568
2020-03-02,10:40:00,134.82,134.82,134.77,134.77,418
2020-03-02,10:41:00,134.76,134.77,134.74,134.77,898
2020-03-02,10:42:00,134.76,134.76,134.7,134.7,760
2020-03-02,10:43:00,134.7,134.74,134.69,134.69,358
2020-03-02,10:44:00,134.7,134.71,134.67,134.67,362
2020-03-02,10:45:00,134.68,134.72,134.67,134.72,579
2020-03-02,10:46:00,134.71,134.85,134.71,134.81,979
2020-03-02,10:47:00,134.8,134.86,134.8,134.82,696
2020-03-02,10:48:00,134.83,134.85,134.81,134.83,284
2020-03-02,10:49:00,134.83,134.85,134.77,134.85,645
2020-03-02,10:50:00,134.86,134.93,134.85,134.9,811
2020-03-02,10:51:00,134.9,134.92,134.86,134.87,485
2020-03-02,10:52:00,134.86,134.86,134.82,134.82,440
2020-03-02,10:53:00,134.84,134.84,134.77,134.77,363
2020-03-02,10:54:00,134.76,134.79,134.75,134.78,361
2020-03-02,10:55:00,134.77,134.79,134.75,134.78,442
2020-03-02,10:56:00,134.79,134.82,134.79,134.8,253
2020-03-02,10:57:00,134.8,134.86,134.79,134.85,245
2020-03-02,10:58:00,134.85,134.88,134.84,134.87,393
2020-03-02,10:59:00,134.87,134.88,134.86,134.87,189
2020-03-02,11:00:00,134.87,134.89,134.86,134.88,240
2020-03-02,11:01:00,134.88,134.88,134.82,134.83,301
2020-03-02,11:02:00,134.84,134.86,134.83,134.86,324
2020-03-02,11:03:00,134.87,134.87,134.8,134.81,266
2020-03-02,11:04:00,134.8,134.8,134.76,134.76,395
2020-03-02,11:05:00,134.76,134.77,134.75,134.75,466
2020-03-02,11:06:00,134.75,134.76,134.71,134.71,552
2020-03-02,11:07:00,134.71,134.75,134.69,134.72,901
2020-03-02,11:08:00,134.73,134.73,134.71,134.72,166
2020-03-02,11:09:00,134.72,134.75,134.72,134.74,107
2020-03-02,11:10:00,134.74,134.74,134.7,134.73,186
2020-03-02,11:11:00,134.72,134.74,134.71,134.71,222
2020-03-02,11:12:00,134.71,134.72,134.69,134.7,386
2020-03-02,11:13:00,134.7,134.74,134.68,134.69,522
2020-03-02,11:14:00,134.68,134.68,134.63,134.64,1008
2020-03-02,11:15:00,134.64,134.66,134.64,134.66,266
2020-03-02,11:16:00,134.65,134.66,134.64,134.66,221
2020-03-02,11:17:00,134.66,134.68,134.66,134.66,366
2020-03-02,11:18:00,134.66,134.68,134.65,134.68,352
2020-03-02,11:19:00,134.69,134.69,134.63,134.63,553
